,event_team,top_1,top_2,top_3
39,Eibar,0.3333333333333333,0.25,0.23333333333333334
40,Eintracht Frankfurt,1.0,1.0,0.25
41,Elche,0.21739130434782608,0.2,0.17142857142857143
42,Empoli,0.3333333333333333,0.3333333333333333,0.16666666666666666
43,Espanyol,1.0,0.5,0.5
44,Everton,0.3333333333333333,0.23333333333333334,0.16981132075471697
45,Evian Thonon Gaillard,0.5,0.3333333333333333,0.30434782608695654
46,FC Augsburg,0.5,0.375,0.2857142857142857
47,FC Cologne,0.3333333333333333,0.25,0.1891891891891892
48,FC Ingolstadt 04,0.25,0.2,0.08333333333333333
49,Fiorentina,0.29577464788732394,0.2857142857142857,0.25
50,Fortuna Dusseldorf,0.5,0.3181818181818182,0.18181818181818182
51,Frosinone,1.0,0.17391304347826086,0.14285714285714285
52,Fulham,0.3333333333333333,0.25,0.14814814814814814
53,GFC Ajaccio,0.21739130434782608,0.17647058823529413,0.14285714285714285
54,Genoa,0.5,0.3333333333333333,0.3333333333333333
55,Getafe,0.25,0.24,0.2
56,Granada,0.3333333333333333,0.25,0.1875
57,Guingamp,0.17647058823529413,0.17391304347826086,0.15789473684210525
58,Hamburg SV,0.3076923076923077,0.16666666666666666,0.15384615384615385
59,Hannover 96,0.2714285714285714,0.25,0.1927710843373494
60,Hellas Verona,0.5384615384615384,0.5,0.16666666666666666
61,Hertha Berlin,0.5,0.225,0.21052631578947367
62,Hull,0.3333333333333333,0.3333333333333333,0.16666666666666666
63,Internazionale,0.5,0.5,0.22580645161290322
64,Juventus,0.3333333333333333,0.3333333333333333,0.2222222222222222
65,Kaiserslautern,0.5,0.25,0.125
66,Las Palmas,0.5,0.25,0.2
67,Lazio,0.5,0.36363636363636365,0.2
68,Lecce,1.0,0.25,0.14285714285714285
69,Leganes,0.3333333333333333,0.25,0.15789473684210525
70,Leicester City,0.20833333333333334,0.20224719101123595,0.2
71,Lens,0.22857142857142856,0.16666666666666666,0.14285714285714285
72,Levante,0.6666666666666666,0.25,0.20588235294117646
73,Lille,0.3333333333333333,0.2,0.17857142857142858
74,Liverpool,0.4,0.225,0.2
75,Livorno,0.15384615384615385,0.1368421052631579,0.125
76,Lorient,0.5,0.3,0.25
77,Lyon,0.5,0.5,0.2857142857142857
78,Mainz,0.5,0.5,0.25
79,Malaga,0.3,0.25,0.25
80,Mallorca,0.3333333333333333,0.25,0.25
81,Manchester City,0.5,0.2857142857142857,0.1875
82,Manchester Utd,0.25,0.2222222222222222,0.17105263157894737
83,Marseille,1.0,0.5,0.2727272727272727
84,Metz,0.6666666666666666,0.2,0.16666666666666666
85,Middlesbrough,0.3333333333333333,0.25,0.25
86,Montpellier,0.5,0.24444444444444444,0.20754716981132076
87,Nantes,0.3333333333333333,0.18,0.10344827586206896
88,Napoli,1.0,1.0,0.3333333333333333
89,Newcastle,0.5,0.2222222222222222,0.13924050632911392
90,Nice,0.5,0.3333333333333333,0.2727272727272727
91,Norwich City,0.3333333333333333,0.25,0.09375
